Day,Month,Year,ZodiacIndex,Degree,Minute,Second,LatDegree,LatMinute,ZodiacIndexAverageSun,DegreeMean,MinuteMean,SecondMean
18,11,1580,2,6,28,35,1,40,1,25,49,31
28,12,1582,3,16,55,30,4,6,3,9,24,55
30,1,1585,4,21,36,10,4,32,4,20,8,9
6,3,1587,5,25,43,0,3,41,6,0,47,40
14,4,1589,7,4,23,0,1,12,7,14,18,26
8,6,1591,8,26,43,0,-4,0,9,5,43,55
25,8,1593,11,12,16,0,-6,-2,11,9,49,31
31,10,1595,1,17,31,40,0,8,1,9,55,4
13,12,1597,3,2,28,0,3,33,2,23,11,56
18,1,1600,4,8,38,0,4,30,4,4,35,50
20,2,1602,5,12,27,0,4,10,5,14,59,37
28,3,1604,6,18,37,10,2,26,6,27,0,12
